211.18,-47.97,-4250
211.28,-47.97,-4250
211.1,-47.98,-4250
211.38,-47.98,-4250
211.45,-48,-4250
211.23,-48.01,-3900
211.31,-48.01,-3950
210.98,-48.02,-4250
211.13,-48.02,-3900
211.39,-48.02,-4000
211.06,-48.03,-4050
211.51,-48.03,-4250
211.19,-48.04,-3700
211.26,-48.04,-3730
211.32,-48.05,-3650
211.1,-48.06,-3800
211.01,-48.07,-3980
211.39,-48.07,-3700
211.48,-48.07,-3980
211.17,-48.08,-3280
211.21,-48.08,-3100
211.25,-48.08,-3140
211.29,-48.08,-3250
210.91,-48.09,-4250
211.57,-48.09,-4250
211.15,-48.1,-3150
211.19,-48.1,-3000
211.23,-48.1,-2850
211.27,-48.1,-3000
211.31,-48.1,-3100
211.34,-48.1,-3220
211.06,-48.11,-3630
211.47,-48.11,-3765
211.13,-48.12,-3170
211.17,-48.12,-2875
211.21,-48.12,-2600
211.25,-48.12,-2600
211.29,-48.12,-2575
211.32,-48.12,-2950
211.53,-48.12,-4070
210.96,-48.14,-3920
211.11,-48.14,-2950
211.15,-48.14,-2550
211.19,-48.14,-2350
211.23,-48.14,-2195
211.27,-48.14,-2080
211.3,-48.14,-2450
211.34,-48.14,-2925
211.38,-48.14,-3125
211.04,-48.15,-3450
211.16,-48.15,-2110
211.18,-48.15,-2100
211.2,-48.15,-1760
211.22,-48.15,-1920
211.24,-48.15,-1900
211.26,-48.15,-1750
211.28,-48.15,-2110
211.51,-48.15,-3950
211.6,-48.15,-4250
211.09,-48.16,-2950
211.13,-48.16,-2570
211.15,-48.16,-1950
211.17,-48.16,-1750
211.19,-48.16,-1480
211.2,-48.16,-1325
211.21,-48.16,-1350
211.23,-48.16,-1650
211.25,-48.16,-1375
211.27,-48.16,-1780
211.29,-48.16,-2125
211.31,-48.16,-2200
211.36,-48.16,-2940
211.42,-48.16,-3450
211.19,-48.165,-1150
211.2,-48.165,-1125
211.21,-48.165,-1150
211.25,-48.165,-1125
211.14,-48.17,-2250
211.16,-48.17,-1875
211.18,-48.17,-1340
211.19,-48.17,-1075
211.2,-48.17,-850
211.21,-48.17,-850
211.22,-48.17,-1100
211.23,-48.17,-1375
211.24,-48.17,-1175
211.25,-48.17,-950
211.26,-48.17,-1300
211.28,-48.17,-1825
211.3,-48.17,-1850
211.32,-48.17,-2110
211.19,-48.175,-1125
211.2,-48.175,-800
211.21,-48.175,-700
211.22,-48.175,-1020
211.23,-48.175,-1175
211.24,-48.175,-900
211.25,-48.175,-900
211.07,-48.18,-3050
211.11,-48.18,-2615
211.15,-48.18,-1850
211.17,-48.18,-1730
211.19,-48.18,-1150
211.2,-48.18,-1025
211.21,-48.18,-600
211.22,-48.18,-900
211.23,-48.18,-1050
211.24,-48.18,-800
211.25,-48.18,-950
211.26,-48.18,-1300
211.27,-48.18,-1370
211.28,-48.18,-1450
211.29,-48.18,-1490
211.31,-48.18,-1850
211.34,-48.18,-2575
211.38,-48.18,-3350
211.19,-48.185,-1300
211.2,-48.185,-1050
211.21,-48.185,-650
211.22,-48.185,-770
211.23,-48.185,-750
211.24,-48.185,-620
211.25,-48.185,-950
211.26,-48.185,-1150
211.27,-48.185,-1000
211.28,-48.185,-1150
210.89,-48.19,-4250
211,-48.19,-3650
211.14,-48.19,-2300
211.16,-48.19,-1940
211.18,-48.19,-1550
211.2,-48.19,-1050
211.21,-48.19,-675
211.22,-48.19,-600
211.23,-48.19,-590
211.24,-48.19,-650
211.25,-48.19,-800
211.26,-48.19,-1050
211.27,-48.19,-950
211.28,-48.19,-1000
211.3,-48.19,-1780
211.19,-48.19,-1150
211.2,-48.195,-850
211.21,-48.195,-600
211.22,-48.195,-570
211.23,-48.195,-555
211.24,-48.195,-580
211.25,-48.195,-700
211.26,-48.195,-750
211.27,-48.195,-875
211.28,-48.195,-1020
211.05,-48.2,-3275
211.09,-48.2,-2865
211.13,-48.2,-2480
211.15,-48.2,-2025
211.17,-48.2,-1375
211.18,-48.2,-1000
211.19,-48.2,-825
211.2,-48.2,-700
211.21,-48.2,-580
211.22,-48.2,-510
211.23,-48.2,-500
211.24,-48.2,-550
211.25,-48.2,-600
211.26,-48.2,-735
211.27,-48.2,-875
211.28,-48.2,-1150
211.29,-48.2,-1500
211.31,-48.2,-2150
211.36,-48.2,-3000
211.4,-48.2,-3380
211.48,-48.2,-3780
211.57,-48.2,-4025
211.18,-48.205,-950
211.19,-48.205,-800
211.2,-48.205,-740
211.21,-48.205,-595
211.22,-48.205,-595
211.23,-48.205,-490
211.24,-48.205,-650
211.25,-48.205,-748
211.26,-48.205,-850
211.27,-48.205,-1000
211.16,-48.21,-1700
211.18,-48.21,-1200
211.19,-48.21,-1000
211.2,-48.21,-850
211.21,-48.21,-765
211.22,-48.21,-780
211.23,-48.21,-560
211.24,-48.21,-750
211.25,-48.21,-850
211.26,-48.21,-1040
211.27,-48.21,-1200
211.28,-48.21,-1300
211.3,-48.21,-1600
211.19,-48.215,-1100
211.2,-48.215,-1000
211.21,-48.215,-975
211.22,-48.215,-925
211.23,-48.215,-725
211.24,-48.215,-800
211.25,-48.215,-1050
210.95,-48.22,-4050
211.07,-48.22,-3700
211.11,-48.22,-2910
211.15,-48.22,-2150
211.17,-48.22,-1750
211.19,-48.22,-1250
211.2,-48.22,-1150
211.21,-48.22,-1125
211.22,-48.22,-950
211.23,-48.22,-950
211.24,-48.22,-925
211.25,-48.22,-1125
211.27,-48.22,-1350
211.29,-48.22,-1650
211.31,-48.22,-1750
211.34,-48.22,-2500
211.38,-48.22,-3025
211.42,-48.22,-3400
211.16,-48.23,-2200
211.18,-48.23,-1850
211.2,-48.23,-1500
211.22,-48.23,-1325
211.24,-48.23,-1375
211.26,-48.23,-1530
211.28,-48.23,-1680
211.3,-48.23,-2000
211.02,-48.24,-3700
211.09,-48.24,-3325
211.13,-48.24,-2875
211.17,-48.24,-2200
211.19,-48.24,-1850
211.21,-48.24,-1600
211.23,-48.24,-1900
211.25,-48.24,-1800
211.27,-48.24,-1930
211.29,-48.24,-2000
211.31,-48.24,-2250
211.36,-48.24,-2800
211.4,-48.24,-3220
211.44,-48.24,-3500
211.53,-48.24,-3650
211.65,-48.24,-4250
211.18,-48.25,-2150
211.2,-48.25,-1840
211.22,-48.25,-2275
211.24,-48.25,-2275
211.26,-48.25,-2150
211.28,-48.25,-2250
210.93,-48.26,-4250
211.11,-48.26,-3240
211.15,-48.26,-2675
211.19,-48.26,-2100
211.23,-48.26,-2575
211.27,-48.26,-2400
211.3,-48.26,-2550
211.34,-48.26,-2820
211.38,-48.26,-3050
211.42,-48.26,-3400
211.06,-48.28,-3725
211.13,-48.28,-3120
211.17,-48.28,-2800
211.21,-48.28,-3050
211.25,-48.28,-2925
211.28,-48.28,-2775
211.32,-48.28,-2920
211.36,-48.28,-3190
211.4,-48.28,-3260
211.49,-48.28,-3780
211.59,-48.28,-4050
211.26,-48.3,-3250
211.3,-48.3,-3140
210.99,-48.32,-4250
211.08,-48.32,-3950
211.15,-48.32,-3750
211.22,-48.32,-3630
211.28,-48.32,-3420
211.36,-48.32,-3420
211.46,-48.32,-3735
211.56,-48.32,-4015
211.66,-48.32,-4250
211.18,-48.35,-4010
211.1,-48.37,-4250
211.26,-48.37,-3950
211.34,-48.37,-3850
211.42,-48.37,-3900
211.5,-48.37,-4050
211.6,-48.39,-4250
211.22,-48.4,-4250
211.3,-48.42,-4250
211.38,-48.42,-4250
211.46,-48.42,-4250
