    -1.000        -1.875 
    -0.950        -1.599 
    -0.900        -1.344 
    -0.850        -1.110 
    -0.800        -0.897 
    -0.750        -0.703 
    -0.700        -0.528 
    -0.650        -0.371 
    -0.600        -0.231 
    -0.550        -0.108 
    -0.500         0.000 
    -0.450         0.093 
    -0.400         0.171 
    -0.350         0.236 
    -0.300         0.288 
    -0.250         0.328 
    -0.200         0.357 
    -0.150         0.375 
    -0.100         0.384 
    -0.050         0.384 
     0.000         0.375 
     0.050         0.359 
     0.100         0.336 
     0.150         0.307 
     0.200         0.273 
     0.250         0.234 
     0.300         0.192 
     0.350         0.147 
     0.400         0.099 
     0.450         0.050 
     0.500        -0.000 
     0.550        -0.050 
     0.600        -0.099 
     0.650        -0.147 
     0.700        -0.192 
     0.750        -0.234 
     0.800        -0.273 
     0.850        -0.307 
     0.900        -0.336 
     0.950        -0.359 
     1.000        -0.375 
     1.050        -0.384 
     1.100        -0.384 
     1.150        -0.375 
     1.200        -0.357 
     1.250        -0.328 
     1.300        -0.288 
     1.350        -0.236 
     1.400        -0.171 
     1.450        -0.093 
     1.500         0.000 
     1.550         0.108 
     1.600         0.231 
     1.650         0.371 
     1.700         0.528 
     1.750         0.703 
     1.800         0.897 
     1.850         1.110 
     1.900         1.344 
     1.950         1.599 
     2.000         1.875 
       x          f(x)

